feature,importance
DOLocationID,137441
PULocationID,87904
route_hash,80202
route_complexity,77191
estimated_distance,49352
pickup_dayofyear,31148
hourcos_distance,27986
hoursin_distance,25327
dropoff_density,25084
weekday_hour,24357
distance_hour_interaction,22443
speed_proxy_hour,21918
manhattan_distance,20650
pressure,20053
business_distance,18997
temperature,18745
dayofyear_sin,17642
dayofyear_cos,15391
airport_distance,14793
humidity,14739
pickup_hour,13970
pickup_day,13940
pickup_density,13020
wind_speed,12672
pickup_weekday,12178
temp_distance,11704
hour_cos,10945
weekday_sin,10853
hour_sin,10325
day_distance,9937
weekend_temp,9732
distance_rushhour_interaction,8125
wind_distance,7766
distance_per_passenger,7626
passengers_distance,7470
weekday_cos,7132
airport_hour,7130
clouds,6948
temp_rush,6902
distance_squared,6173
latenight_distance,5023
pickup_weekofyear,4812
pickup_is_airport,4586
wind_rush,4572
feels_like,4118
month_cos,3472
distance_rush_manhattan,3361
dropoff_is_airport,3184
pickup_month,2756
holidayweek_distance,2258
is_business_hours,2112
same_location,2031
precip_distance,1998
month_sin,1981
holiday_hour,1968
precip_hour,1755
is_major_holiday,1714
business_manhattan,1527
is_airport_trip,1440
precipitation,1396
airport_weekend,1305
rain_distance_interaction,1281
holidayweek_hour,1266
is_holiday,1252
distance_sqrt,1250
distance_hour_rain,1245
dropoff_is_manhattan,1243
hour_squared,1163
distance_weather_severity,1148
latenight_weekend,852
manhattan_weekend,784
temp_squared,746
is_weekend,617
passenger_count,563
holiday_airport_interaction,511
rushhour_airport_interaction,507
snow,430
is_late_night,409
snow_distance_interaction,310
weather_rushhour_interaction,310
manhattan_rush,290
holiday_manhattan_interaction,278
latenight_manhattan_interaction,277
distance_rain,261
is_holiday_week,258
passengers_airport,225
weather_airport_interaction,217
pickup_is_manhattan,212
passengers_weekend,210
passengers_manhattan,195
major_holiday_rush,177
is_rush_hour,142
weather_severity,127
weekend_rain,124
passengers_rush,106
extreme_distance,76
distance_snow,52
latenight_manhattan,49
rush_rain,46
rush_snow,8
is_heavy_rain,7
is_extreme_weather,3
is_raining,1
is_snowing,1
is_poor_visibility,0
is_heavy_snow,0
poorvis_rush,0
